2022-05-20 11:26:59,846 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索2
2022-05-20 11:26:59,846 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//input[@placeholder='线索名称']")
2022-05-20 11:26:59,864 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "//input[@placeholder='线索名称']")清空
2022-05-20 11:26:59,899 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "//input[@placeholder='线索名称']")输入内容:藏品线索2
2022-05-20 11:26:59,899 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:59,899 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:27:01,971 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', '(//tr/td)[2]/div')的文本
2022-05-20 11:27:01,971 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', '(//tr/td)[2]/div')
2022-05-20 11:27:02,989 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//tbody)[2]/tr[1]/td[contains(@class, 'is-center')]/div/button/span")
2022-05-20 11:27:02,989 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//tbody)[2]/tr[1]/td[contains(@class, 'is-center')]/div/button/span")
2022-05-20 11:27:04,083 INFO [root] [base.py (base_get_value:76] - 正在获取元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")的value值
2022-05-20 11:27:04,083 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")
2022-05-20 11:27:04,104 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//button[@class='el-dialog__headerbtn']")
2022-05-20 11:27:04,104 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//button[@class='el-dialog__headerbtn']")
2022-05-20 11:27:06,173 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '已废弃')]")
